n=65000, #threads=9, mono_threaded=1.035482461s, 9_threaded=98.915608ms, ratio=0.095526
n=65000, #threads=10, mono_threaded=1.035482461s, 10_threaded=106.693896ms, ratio=0.103038
n=65000, #threads=11, mono_threaded=1.035482461s, 11_threaded=114.037654ms, ratio=0.110130
n=65000, #threads=12, mono_threaded=1.035482461s, 12_threaded=120.286566ms, ratio=0.116165
n=65000, #threads=13, mono_threaded=1.035482461s, 13_threaded=127.173294ms, ratio=0.122815
n=65000, #threads=14, mono_threaded=1.035482461s, 14_threaded=135.091251ms, ratio=0.130462
n=65000, #threads=15, mono_threaded=1.035482461s, 15_threaded=142.259269ms, ratio=0.137385
n=65000, #threads=16, mono_threaded=1.035482461s, 16_threaded=145.486179ms, ratio=0.140501
n=70000, #threads=2, mono_threaded=1.2325894s, 2_threaded=321.593287ms, ratio=0.260909
n=70000, #threads=3, mono_threaded=1.2325894s, 3_threaded=166.457197ms, ratio=0.135047
n=70000, #threads=4, mono_threaded=1.2325894s, 4_threaded=119.791355ms, ratio=0.097187
n=70000, #threads=5, mono_threaded=1.2325894s, 5_threaded=103.975293ms, ratio=0.084355
n=70000, #threads=6, mono_threaded=1.2325894s, 6_threaded=96.657317ms, ratio=0.078418
n=70000, #threads=7, mono_threaded=1.2325894s, 7_threaded=97.139252ms, ratio=0.078809
n=70000, #threads=8, mono_threaded=1.2325894s, 8_threaded=101.338576ms, ratio=0.082216
n=70000, #threads=9, mono_threaded=1.2325894s, 9_threaded=111.389119ms, ratio=0.090370
n=70000, #threads=10, mono_threaded=1.2325894s, 10_threaded=120.64332ms, ratio=0.097878
n=70000, #threads=11, mono_threaded=1.2325894s, 11_threaded=129.154995ms, ratio=0.104783
n=70000, #threads=12, mono_threaded=1.2325894s, 12_threaded=136.474232ms, ratio=0.110722
n=70000, #threads=13, mono_threaded=1.2325894s, 13_threaded=143.747804ms, ratio=0.116623
n=70000, #threads=14, mono_threaded=1.2325894s, 14_threaded=152.058158ms, ratio=0.123365
n=70000, #threads=15, mono_threaded=1.2325894s, 15_threaded=158.750979ms, ratio=0.128795
n=70000, #threads=16, mono_threaded=1.2325894s, 16_threaded=164.198343ms, ratio=0.133214
n=75000, #threads=2, mono_threaded=1.434851585s, 2_threaded=370.571898ms, ratio=0.258265
n=75000, #threads=3, mono_threaded=1.434851585s, 3_threaded=190.869138ms, ratio=0.133024
n=75000, #threads=4, mono_threaded=1.434851585s, 4_threaded=136.044516ms, ratio=0.094814
n=75000, #threads=5, mono_threaded=1.434851585s, 5_threaded=117.645361ms, ratio=0.081991
n=75000, #threads=6, mono_threaded=1.434851585s, 6_threaded=109.322345ms, ratio=0.076191
n=75000, #threads=7, mono_threaded=1.434851585s, 7_threaded=109.050943ms, ratio=0.076002
n=75000, #threads=8, mono_threaded=1.434851585s, 8_threaded=113.593732ms, ratio=0.079168
n=75000, #threads=9, mono_threaded=1.434851585s, 9_threaded=125.345305ms, ratio=0.087358
n=75000, #threads=10, mono_threaded=1.434851585s, 10_threaded=134.202516ms, ratio=0.093531
n=75000, #threads=11, mono_threaded=1.434851585s, 11_threaded=144.435793ms, ratio=0.100663
n=75000, #threads=12, mono_threaded=1.434851585s, 12_threaded=153.755484ms, ratio=0.107158
n=75000, #threads=13, mono_threaded=1.434851585s, 13_threaded=161.629634ms, ratio=0.112646
n=75000, #threads=14, mono_threaded=1.434851585s, 14_threaded=172.440865ms, ratio=0.120180
n=75000, #threads=15, mono_threaded=1.434851585s, 15_threaded=180.189786ms, ratio=0.125581
n=75000, #threads=16, mono_threaded=1.434851585s, 16_threaded=184.295148ms, ratio=0.128442
n=80000, #threads=2, mono_threaded=1.655494034s, 2_threaded=423.44144ms, ratio=0.255780
